3D computer graphics, 3D-grafik
Abductive reasoning, Abduktion
Abstract machine, Automat
Abstract method, Funktion
Accelerated Graphics Port, Accelerated graphics port
Access control, Åtkomstkontroll
Accounting software, Bokföringsprogram
Acrostic, Akrostikon
Address, Adressrymd
Address space, Adressrymd
Affect, Affekt
Agent-based model, Agentbaserad modell
Agile software development, Agil systemutveckling
Alan Turing, Alan Turing
Algebra, Algebra
ALGOL, Algol
Algorithm, Algoritm
Algorithm design, Algoritm
Algorithms, Algoritm
Alphabet, Alfabet
Ambient intelligence, Ambient intelligens
Amiga, Amiga
Analog circuit, Analog elektronik
Analog signal, Analog signal
Analysis, Analys
Analytics, Analytics
Animal, Djur
Antecedent, Antecedent
Anthropology, Antropologi
Antibiotic, Antibiotikum
Apple Macintosh, Macintosh
Application developer, Programmerare
Application programming interface, Application Programming Interface
Application software, Tillämpningsprogram
Applied mathematics, Tillämpad matematik
Approximation, Approximation
Approximation error, Absolutfel
Arithmetic and logic operation, Instruktionsuppsättning
Arithmetic, Aritmetik
Arithmetic function, Aritmetisk funktion
Arithmetic/logic instruction, Instruktionsuppsättning
Array, Fält
Artificial general intelligence, Artificiell generell intelligens
Artificial intelligence, Artificiell intelligens
Artificial neural network, Artificiellt neuronnät
Artificial neural networks, Artificiellt neuronnät
ASCII, ASCII
Asexual reproduction, Asexuell förökning
Aspect ratio, Bildformat
Assembler, Assembler
Assembly language, Assembler
Association for the Advancement of Artificial Intelligence, Association for the Advancement of Artificial Intelligence
Attention, Uppmärksamhet
Attenuation, Attenuering
Attribute, Objektorienterad programmering
ATX, Advanced Technology Extended
Audio file format, Ljudfil
Audio Interchange File Format, Audio Interchange File Format
Augmented reality, Förstärkt verklighet
Automata theory, Automatteori
Automated planning and scheduling, Automatisk planering
Automated planning, Automatisk planering
Autonomous, Autonomi
Autonomous car, Självkörande bil
Autonomy, Autonomi
Auxiliary memory, Datorminne
Axioms, Axiom
Bacteremia, Bakteriemi
Bar chart, Stapeldiagram
Barcode, Streckkod
Bayesian network, Bayesiskt nätverk
Bayes' theorem, Bayes sats
Behavioral sciences, Beteendevetenskap
Big data, Big data
Big O notation, Ordo
Binary file, Binärfil
Binary number, Binära talsystemet
Binary relation, Binär relation
Binary search algorithm, Binärsökning
Binary tree, Binärträd
Bioinformatics, Bioinformatik
Biological evolution, Evolution
Biology, Biologi
BIOS, Basic Input/Output System
Bit, Bit
Bitmap, Bitmap
Bit rate, Överföringskapacitet
Blueprint, Blåkopia
Blu-ray Disc, Blu-ray Disc
BMP file format, Windows Bitmap
Board game, Brädspel
Boolean algebra, Boolesk algebra
Boolean data type, Boolesk datatyp
